strain	sex	animal_id	age	gait_score
C57BLKS/J	m	00068B091E	6	3
C57BLKS/J	m	00068B0E87	6	3
C57BLKS/J	m	00068B220B	6	3
C57BLKS/J	m	00068B245E	6	3
C57BLKS/J	m	00068B27BB	6	3
C57BR/cdJ	f	00068AF93E	6	1
C57BR/cdJ	f	00068AF129	6	2
C57BR/cdJ	f	00068AEE3F	6	3
C57BR/cdJ	f	00068AF98D	6	3
C57BR/cdJ	f	00068AFD6A	6	3
C57BR/cdJ	f	00068B09C0	6	3
C57BR/cdJ	f	00068B19CA	6	3
C57BR/cdJ	f	00068B2624	6	3
C57BR/cdJ	m	00068AF200	6	3
C57BR/cdJ	m	00068AFEBD	6	3
C57BR/cdJ	m	00068AFFFD	6	3
C57BR/cdJ	m	00068B0152	6	3
C57BR/cdJ	m	00068B086C	6	3
C57BR/cdJ	m	00068B14AB	6	3
C57BR/cdJ	m	00068B2080	6	3
C57BR/cdJ	m	00068B2A55	6	3
C57L/J	f	56	6	2
C57L/J	f	49	6	3
C57L/J	f	50	6	3
C57L/J	f	51	6	3
C57L/J	f	52	6	3
C57L/J	f	53	6	3
C57L/J	f	54	6	3
C57L/J	f	55	6	3
C57L/J	m	M01N	6	3
C57L/J	m	MO12R	6	3
C57L/J	m	MO1B	6	3
C57L/J	m	MO1L	6	3
C57L/J	m	MO1R	6	3
C57L/J	m	MO22R	6	3
C57L/J	m	MO2B	6	3
C57L/J	m	MO2L	6	3
C57L/J	m	MO2N	6	3
C57L/J	m	MO2R	6	3
CAST/EiJ	f	0009F644	6	3
CAST/EiJ	f	A026D	6	3
CAST/EiJ	f	A0297	6	3
CAST/EiJ	f	A072E	6	3
CAST/EiJ	f	A17A3	6	3
CAST/EiJ	f	A1B86	6	3
CAST/EiJ	f	A1EBE	6	3
CAST/EiJ	f	A22FF	6	3
CAST/EiJ	f	A2389	6	3
CAST/EiJ	f	A2BFB	6	3
CAST/EiJ	m	0009F80D	6	3
CAST/EiJ	m	A0AB6	6	3
CAST/EiJ	m	A19B6	6	3
CBA/J	f	00068af51a	6	3
CBA/J	f	00068af644	6	3
CBA/J	f	00068b05b2	6	3
CBA/J	f	00068b0df9	6	3
CBA/J	f	00068b1e4d	6	3
CBA/J	f	00068b2790	6	3
CBA/J	f	00068b28f4	6	3
CBA/J	m	00068b05bf	6	1
CBA/J	m	00068b0468	6	2
CBA/J	m	00068AF3EB	6	3
CBA/J	m	00068affbd	6	3
CBA/J	m	00068b03f3	6	3
CBA/J	m	00068b06bb	6	3
CBA/J	m	00068b1933	6	3
DBA/2J	f	00068AF106	6	3
DBA/2J	f	00068AF1DF	6	3
DBA/2J	f	00068AF411	6	3
DBA/2J	f	00068AFAF3	6	3
DBA/2J	f	00068AFB73	6	3
DBA/2J	f	00068B047E	6	3
DBA/2J	f	00068B09A9	6	3
DBA/2J	m	00068b0eb0	6	2
DBA/2J	m	00068AF28B	6	3
DBA/2J	m	00068BOEBO	6	3
DBA/2J	m	00068b03da	6	3
DBA/2J	m	00068b09ed	6	3
DBA/2J	m	00068b141f	6	3
DBA/2J	m	00068b1beb	6	3
DBA/2J	m	00068b2354	6	3
DBA/2J	m	00068b2987	6	3
FVB/NJ	f	00068AF08C	6	3
FVB/NJ	f	00068af79c	6	3
FVB/NJ	f	00068afb25	6	3
FVB/NJ	f	00068b0041	6	3
FVB/NJ	f	00068b02ec	6	3
FVB/NJ	f	00068b14b6	6	3
FVB/NJ	f	00068b1db2	6	3
FVB/NJ	f	00068b2732	6	3
FVB/NJ	m	00068AF281	6	3
FVB/NJ	m	00068AFF29	6	3
FVB/NJ	m	00068B051D	6	3
FVB/NJ	m	00068B150A	6	3
FVB/NJ	m	00068B1D71	6	3
FVB/NJ	m	00068B2486	6	3
FVB/NJ	m	00068B287B	6	3
FVB/NJ	m	00068B29D4	6	3
KK/HlJ	f	00068d0875	6	1
KK/HlJ	f	00068af49a	6	2
KK/HlJ	f	00068ced2c	6	3
KK/HlJ	f	00068ceddd	6	3
KK/HlJ	f	00068d2dea	6	3
KK/HlJ	f	00068d3cf5	6	3
KK/HlJ	f	00068d4a75	6	3
KK/HlJ	m	A2B92	6	2
KK/HlJ	m	00068b13ec	6	3
KK/HlJ	m	00068cfd5a	6	3
KK/HlJ	m	00068d2a26	6	3
KK/HlJ	m	00068d3bbc	6	3
KK/HlJ	m	A0EA6	6	3
KK/HlJ	m	A1CED	6	3
KK/HlJ	m	A2620	6	3
LP/J	f	00068B006F	6	3
LP/J	f	00068B0363	6	3
LP/J	f	00068B094E	6	3
LP/J	f	00068B0E32	6	3
LP/J	f	00068B14F7	6	3
LP/J	f	00068B1AFF	6	3
LP/J	f	00068B1EEB	6	3
LP/J	m	00068AF5FC	6	3
LP/J	m	00068AF905	6	3
LP/J	m	00068AFE37	6	3
LP/J	m	00068B00DF	6	3
LP/J	m	00068B0661	6	3
LP/J	m	00068B1FC5	6	3
LP/J	m	00068B2984	6	3
LP/J	m	00068B2AD2	6	3
MOLF/EiJ	m	0006CA2D3E	6	2
MOLF/EiJ	m	0006CA3274	6	3
MOLF/EiJ	m	0006CA39F4	6	3
MOLF/EiJ	m	0006CA4161	6	3
MOLF/EiJ	m	0006CA4C01	6	3
MOLF/EiJ	m	0006CA5CD9	6	3
MOLF/EiJ	m	0006CA62A2	6	3
MOLF/EiJ	m	0006CA87B7	6	3
MRL/MpJ	f	00068af786	6	3
MRL/MpJ	f	00068b0868	6	3
MRL/MpJ	f	00068b14c4	6	3
MRL/MpJ	f	00068b15be	6	3
MRL/MpJ	f	00068b1d39	6	3
MRL/MpJ	f	00068b21d1	6	3
MRL/MpJ	f	00068b23ff	6	3
MRL/MpJ	f	00068b2465	6	3
MRL/MpJ	m	00068cdd86	6	3
MRL/MpJ	m	00068cf2da	6	3
MRL/MpJ	m	00068cf30f	6	3
MRL/MpJ	m	00068cf6d2	6	3
MRL/MpJ	m	00068cf946	6	3
MRL/MpJ	m	00068d080f	6	3
